0.000000 5.000000000000e-01
0.100000 6.570000000000e-01
0.200000 8.284350000000e-01
0.300000 1.013720675000e+00
0.400000 1.212211345875e+00
0.500000 1.423193537192e+00
0.600000 1.645878858597e+00
0.700000 1.879396138750e+00
0.800000 2.122782733318e+00
0.900000 2.374974920317e+00
1.000000 2.634797286950e+00
1.100000 2.900951002080e+00
1.200000 3.172000857298e+00
1.300000 3.446360947315e+00
1.400000 3.722278846783e+00
1.500000 3.997818125695e+00
1.600000 4.270839028893e+00
1.700000 4.538977126927e+00
1.800000 4.799619725254e+00
1.900000 5.049879796405e+00
2.000000 5.286567175028e+00
