-4.900000 115
-4.700000 318
-4.500000 540
-4.300000 761
-4.100000 923
-3.900000 1185
-3.700000 1384
-3.500000 1567
-3.300000 1728
-3.100000 1976
-2.900000 2212
-2.700000 2282
-2.500000 2421
-2.300000 2608
-2.100000 2795
-1.900000 2892
-1.700000 3008
-1.500000 3029
-1.300000 3256
-1.100000 3205
-0.900000 3433
-0.700000 3435
-0.500000 3442
-0.300000 3544
-0.100000 3476
0.100000 3490
0.300000 3500
0.500000 3395
0.700000 3330
0.900000 3399
1.100000 3330
1.300000 3217
1.500000 3139
1.700000 3093
1.900000 2837
2.100000 2693
2.300000 2618
2.500000 2488
2.700000 2386
2.900000 2150
3.100000 2024
3.300000 1787
3.500000 1587
3.700000 1328
3.900000 1091
4.100000 958
4.300000 753
4.500000 511
4.700000 339
4.900000 122
