-4.900000 1099
-4.700000 3266
-4.500000 5584
-4.300000 7584
-4.100000 9702
-3.900000 11723
-3.700000 14018
-3.500000 15673
-3.300000 17854
-3.100000 19885
-2.900000 21225
-2.700000 23210
-2.500000 24531
-2.300000 26102
-2.100000 27626
-1.900000 28582
-1.700000 29937
-1.500000 31357
-1.300000 31968
-1.100000 32854
-0.900000 33703
-0.700000 34065
-0.500000 34447
-0.300000 34560
-0.100000 34702
0.100000 34846
0.300000 34967
0.500000 34443
0.700000 34088
0.900000 33687
1.100000 33041
1.300000 31888
1.500000 30999
1.700000 30249
1.900000 28622
2.100000 27508
2.300000 26198
2.500000 24919
2.700000 23182
2.900000 21289
3.100000 19623
3.300000 17677
3.500000 15833
3.700000 13993
3.900000 11810
4.100000 9760
4.300000 7509
4.500000 5440
4.700000 3162
4.900000 1110
